f1   ,f2          ,f3 ,f4,f5           ,f6     ,f7        ,f8           ,f9                  ,f10          
SM0C3,9S7FZCH6463B,MZ1,EY,URL2LY39CRB7P,S8IWUTD,374H7DRQKC,CZFETH123IXY9,G4Q2WR1R9XC4STTCKBYJ,GIMC61XKJZ3QD
HHBR1,EL68TNV4EYFI,VMB,15,H6E4OZB4D82AP,44FTEE2,2F98S0JYXU,BSQGW237D4ET5,ROFT1F853Q30SNSLSJ89,33XSA0AB604HJ
APWY8,F5JKQSKC4Z5B,NMH,J7,XP815HGSSF7JR,7FB0H18,WNTD4E2XPZ,GX7JWI8AI5KS4,NS4GPFNC4SOZMPVF37YO,G8A4XC0VHJPUO
8Y3YV,VXT23OTPNVPV,66L,E8,UDF2GJFFSWR8I,RQMGMEV,MCC33ICY5S,DPT2KC2DL1EBG,133HEDCJAF761JVAERY0,03VATZIEUEB0L
15CDR,I0ZESF2V45H3,KL8,B1,CYAOW7LJD26DE,FOTFU7W,32K9I9O8BD,VHBNBBK45S7H2,565VNDINVQ8V6BEWLL6B,LKW3OJJ25XFQZ
URV0U,QSBR743ZZ07K,ABY,CP,CM1LD8PJP4XCA,G8FAWW8,USNNIW1JTL,FK47GZOYQNLWP,0HZL43ZP76PE9KK9RJ64,5KGHJH9KEN8GL
4XLFV,379HZHXJQXYX,RBM,C5,IGOIMB54ZG17E,FMQLOAJ,PZEVFKSS8Q,SYN56GNGKNGX5,JHRFM7ZFWUCOY70D1VOM,5G3YD40K23KXQ
VYWF3,JH6ZUWJNLJFB,P8W,6S,830A96F6V20LA,N2ENCYP,FAZ0X20PF5,ZU71O2J64KY4W,CUPTMXHIQDLFT6ICV9UR,T1F5LYQAYJH39
U29EA,U03DGKJY7W44,ZQ1,P8,038AX50Z9Q8CB,NHDKNFS,NDC9UBYKPZ,H1S9QVE5BYMPA,RSAZ574ZGI202GT6GU4Z,PRKJ4G1NIRYHQ
YVEBO,CBHE5ESBNM94,64Z,TT,G9Y6IRSB9IC33,DOMU9GB,3G6O7GFJGD,PUOBKJKJQRW1O,EHTFEGBNNNDKVQXH3KQA,WU22X2JMXH07Q
Z9ZBE,VD769FM4OYWB,QI9,U7,95HI7XK7OAYZF,50FIL3H,N22ZGKZTWO,OAP8KZS3K1A4V,FU0ATGR3M13FLU3ZG922,41U2Q012ZBNFX
XNEWC,A0IRA9M7AF0Q,A2S,RF,U3KC45OL7UDEM,5M3Z21J,8B6CRY1VC2,FABHWVLLE382G,02XIXTUHHNSGO54UYVKX,L2X0ITH3PQGTJ
DHPYE,DL4T0JRMVIM9,3WW,J7,YDYPQH17315J5,UOJS3T2,3Y3PPR1FYO,JZXQBSYHJCZGE,7AII3IWHJWHG7EE2TM27,8S0CL82FLVUSR
8K7UH,4W61F4NQ9QMG,PDR,VD,L8MLLXP1BG41W,0B2ZESC,3G21CINFJE,YPRG3LVZ4V30Q,81HRWG3Z6J3CJ1YBH933,X0XTHITTU1O88
HCT7T,QUUFBNZWFKN7,MSF,3Z,AFKD7SKBU0QV9,YY7XBO9,2F2YGJ7BW0,6F036OXYSFATY,7WKG4YWBVF8PUV6YCFM8,1WFOIG8R9V34O
49B4W,HQODKJWGDKGK,ROD,X1,7SB6MLWW1WHHB,003PBEM,6ZO1P4D5R8,AJ4PLMC04WPBU,KZJXFH246HQL7OHWEK5T,R07GH06EAPMUJ
U07TL,LG7ZJUNGO82U,VWM,1G,FISYIMEZE2BEM,5NV2AWT,GT2S05SSPM,S3F4W8Q9OSHE2,I54UAGI4QBOUIMY9ELL7,8QPM82KYAMLS7
PU7CJ,WCZL8JMQZNRB,TG8,Z9,O1B7I895EZT7F,QNS0BSY,NFZYK6XJMO,764TEI0WLWIF2,ORL68VHD62IR839A7841,SP18PXE7EJ1LP
9GMWW,0VPIX6YBRGSQ,0JF,Z7,1M560L9G8GC2K,KQQZOH7,1IT89SPBVZ,ZB6I6FHHCD732,7GRVG2UE04PLLQ76PNG9,QC4DSF30B3UQJ
29RSY,VFR846N55B6V,SOX,1C,U6LHRGP2B1IYM,KL0L67V,ETZRWES1FS,Y2BYVM9HPMR2U,BQV8OK349FUP0JQMC3TK,T02L49O9ZQNQY
M2FI9,CYAXLH5AFZJG,17U,WS,VN1SCEK6YKAMR,D1SRQ87,0IN9P684AI,4NJV406KQJHTD,HAOITIB3BA5WYZV8NKZH,OCAOCPOYVECPZ
ECI7V,69W6380NBLJH,6V9,2C,KALDV1HBEYOKD,T395MCY,AKCL9JSB69,D0E6FKIKQ6FJV,J65SZW0WRR4N0DSYEG8O,ECHCCI5QX9TKT
H5RAN,OTOHR00AMTIC,8ER,7L,G2RB79F40MR13,MNBGJZT,WMX2CPSL2J,EG0HBGZGLFG5Z,JZH7TCFA76TKH4LOTF04,8PS2DUGOLXWK2
B51V0,UGPJY85YKIS1,3O3,5F,EFAF2OUMLUW10,MFPCWC1,MSNZQORETA,II0XJWPH2PRP9,6VF5SAEFTC01KPNWHLVO,U69XC4LMMF4R8
ZDCGT,5K21H7KGH7WC,KJF,8J,7F6JB2ODNI4XI,FQ4L6S1,DVBL4UM8ZD,T9B1I99MLEFS5,WDA6KLQ4D8NSCMBLBYMU,JLMVWSW1CALU6
SBBYT,RROKYBSS8Z7O,96U,M1,UUS5Y4K50OBBA,UG0PWQZ,67NVSLA4IT,ZJ98CQ18D6WN0,NEKH2SHTCQLDL37G0IME,Z822K17OFQNW4
ADAR4,HIMLCQRFBH4R,HW3,QQ,KVSQ2DL9GHE4F,FY5G3BF,EBPHKSNR1U,0VO0RXGIPW57E,NRNQR6FEKXMH0U830SS7,VYUMPOC97YLYO
I7N4K,L841H0DLUZXW,KHV,12,UR3NOS7HSL03M,UOALB5Y,FG1R84VLJS,B8FI2T6F7C7VK,23VYN2YDRQGF79DT9NWT,L0BS4UWCXMACR
VHC35,9U1B6IJ3XSZU,WB3,PP,9EYN2I9UQ0WBA,BFBOW72,LXWIE3RQH9,JWTBMP6YBPLVY,NMAUTUVYM8G9YKZ48KP7,7SZ0RAU5WZCFU
P3IKF,CHSV0LUYJDU4,Z4Q,8V,6997LS0JLU29V,MU89X1N,YCFQ7OUUGR,23G5JHQ8FN9RT,QYW9P5EBN02XWUVWHJKD,THKEL6SVKDE0L
TYQ7K,TR84SEHWUYC5,DIB,5Y,AKK1EV8XHAO7X,7QN744V,B3H3952PVC,UEYIV9JQDLKKF,LQJXT000O2EFDYE0CII5,IYAYLQ35VHHNE
X0RFB,TVVCS7MW77XU,R4K,VN,OIQM9C96WL11Q,DLCEEX8,616AZ9ELGW,Z8TZSR45E00VC,6S3SJIS0NN8O75ABPZH4,0GLYPFEYY6NMT
XYCAH,O8BL8321HGK7,1G7,BC,15BQSNE72L35J,00HBS89,T9ZA1GN8EU,147N4ZTMUVPHD,D8HWRIK8LKBLLODGVZK4,MBBXOYGGZVU01
CBLS9,EIBUACCJPUUF,SZT,9B,WV1C9V2WWX7XO,T6IG4Q2,T9KVCL8B7H,G0MGVGI6KU189,8YZH73NWCK23YK5WK7BA,DGFFWZIUZ8V1K
0ZD06,V3EGFOKMVVOR,32Z,60,FR2NLQ0Q9NZHO,3ZYWWAY,582H96KM26,58AP7JAXQSE1P,MFIM64N0PL3SRTCZIEFF,VDP7D7I5W5CJR
I1QKS,35FSP8S6MTBD,74Z,HF,VN4347AMPPHUQ,YTDYPY8,4XWOT2WEQ3,Q8JTBJHU65WHY,5Y9F8LAM7KFTDTT8VC02,VQG2D5TWOSDOI
1XFG2,7J85IDQ4RD8S,XVZ,00,ZKNNBF5CZ9ZFZ,N5C82B2,QDREIIXV8K,WM059DS3JGD1D,PUSMN27B3YINIROULGM7,6IDT8N7RIG4YR
D0HSN,FAY4JJZTHEAN,PWX,5Z,UFUJGA2FLD3BX,TPS3OPD,6LGIRFPVA1,5MOVJVX6H227I,7HXWGQDB0IESMJY3TQYW,EM80BYY2LKILH
7BUUU,5F6QX4SP6IZR,SN1,6W,4JL80707YY9AY,THHPJYP,FMWCFWC1XR,H9CV6C2MTK66Z,MC68BGHGKQ45SRXOM2RD,Q5T05GSOF6R0F
VYWX8,CFOE31LP5M2J,UPZ,37,YLIAFN5V515KM,1WVTM9Q,M3T7YHOJF6,EISA4GBJ0WDZA,RUGCA17IVV7W4GL8GKUE,WNW34AAXPR8LQ
H2D3Y,ATDVBJZFMSYN,ZGB,H2,5RVJIV4VFLDTN,HQTOX3Y,R333OML4FP,85V3G1IMFYBEW,WZZD8GSCGLN53KL4M7BB,AGG5JDJS4Z1ZB
JZRSC,9O40DWA4M6ZM,BD4,Q3,XWHPC7O5T3TGE,QTFSCIR,AGIXKTO0NC,ERBDLJ4QRR4FT,WFP6VQ1GJBG39QE8G11S,OFB997RN2WE2O
BQ6A7,NF02864FMJ44,JG8,6Z,DWGQ8HD1X20LA,PEQVA1C,64VU0L8FNJ,SRLXAIR5SGXQK,PNM4Z2N62EO7QPT0SMAA,0HGFN8S5X2RJ3
QEHB8,9SO6K25YF8LQ,7JY,40,AF70MZBKY1P28,CGUZPXV,JALHFXW1VL,9BEE4E5CWJ8QQ,4PQT4ZY8A7XDMIUVBGFA,XW079UI22SC77
OVIKB,495PSPO0MKDF,RH4,WV,EY4ZEP6VYGPDK,J75VQE7,Q2PVI9GACW,HJH7MVZGW3C6B,WTNR6JFFLTWP8TJBOKZF,R9ULVH9M31PRA
ZUEAQ,2I746YA1FSFK,W97,YD,3PM3BJ72O3D82,6OW8PZZ,O59J618I6Q,JN8IX424MZOT2,9JIULLRTQX1K0GP3Z3KU,SDC08LYO5JY9V
6FZUZ,HW7Z16OY8H1G,LAR,GQ,ZLASTVJTIHQZQ,IYB4QUI,E4QNLQ3ZV6,EISZYTN62XJLJ,JLC8PMO1IYD0I7886SVH,Q65FZCW2I97ND
WQN8A,L9T4V2BE23V6,BIB,CS,1OA7KWZV4YAAB,FWEBY83,DGAOODL2SU,6K17QDKC5YUWT,8YTW54JN3Y61C08CIR3J,KVCJ9ZCXPUNCI
3PDIO,Y5UZRSFEV5GR,ZO9,3J,M7IJTUBMVU1HX,2HAREJV,FHGV01SSHJ,TC06GTI3PYJP6,AMS4DMJN12HK80Y7AK7M,PNH8PHD2GTVR1
UHPE7,H8AVX2FU6AUX,W0W,JQ,YVACNH4MDVI77,4ZVYBY5,PVH2SKJ7AQ,T7OA1780KQ6ER,RQRCKQ1AOXLVT19FPPIQ,4WWZ45EU8TMSA
